Latitude,Longitude,Category
51.42713547,-0.330368012,Coordinates
51.52581024,-0.128790006,Coordinates
51.50761795,-0.223394006,Coordinates
51.4737587,-0.191799998,Coordinates
51.37628937,-0.018300001,Coordinates
51.51414871,-0.100199997,Coordinates
51.51731873,-0.177520007,Coordinates
51.51216125,-0.145070001,Coordinates
51.51401901,-0.139249995,Coordinates
51.50880051,-0.144079998,Coordinates
51.52158356,-0.157084003,Coordinates
51.51528168,-0.135299996,Coordinates
51.51834869,-0.113940001,Coordinates
51.51340866,-0.082850002,Coordinates
51.51433182,-0.107709996,Coordinates
51.50711441,-0.072531,Coordinates
51.52127457,-0.143417001,Coordinates
51.51612473,-0.143889993,Coordinates
51.51453018,-0.152820006,Coordinates
51.51839066,-0.083673,Coordinates
51.5454483,-0.103399999,Coordinates
51.57872009,-0.124080002,Coordinates
51.49319077,-0.221540004,Coordinates
51.54795074,-0.18141,Coordinates
51.50502777,-0.223120004,Coordinates
51.52623367,-0.088350996,Coordinates
51.49264145,-0.26403001,Coordinates
51.54087067,-0.144758999,Coordinates
51.49464035,-0.129329994,Coordinates
51.52851868,-0.127087995,Coordinates
51.50807953,-0.096079998,Coordinates
51.49300003,-0.194429994,Coordinates
51.50281143,-0.111318,Coordinates
51.53448105,-0.105219997,Coordinates
51.47270966,-0.20081,Coordinates
51.51121902,-0.119889997,Coordinates
51.55419922,-0.165759996,Coordinates
51.53244019,-0.106509998,Coordinates
51.4942894,-0.146880001,Coordinates
51.51263046,-0.09008,Coordinates
51.49259186,-0.259710014,Coordinates
51.50886536,-0.125227004,Coordinates
51.50819016,-0.101879999,Coordinates
51.47571182,-0.205510005,Coordinates
51.47740173,-0.286370009,Coordinates
51.51234818,-0.121639997,Coordinates
51.49047852,-0.152850002,Coordinates
51.51084137,-0.08557,Coordinates
51.46376419,-0.142021999,Coordinates
51.51256943,-0.104079999,Coordinates
51.51390076,-0.110169999,Coordinates
51.51887131,-0.078620002,Coordinates
51.50600815,-0.083489999,Coordinates
51.50978851,-0.197180003,Coordinates
51.48211288,-0.009875,Coordinates
51.54541016,-0.162689999,Coordinates
51.51660156,-0.129329994,Coordinates
51.50393295,-0.07536,Coordinates
51.44487,-0.205699995,Coordinates
51.51305008,-0.153669998,Coordinates
51.49977875,-0.196099997,Coordinates
51.52307129,-0.098350003,Coordinates
51.51292038,-0.188006997,Coordinates
51.51434708,-0.142534003,Coordinates
51.50741196,-0.12291,Coordinates
51.50730896,-0.206039995,Coordinates
51.58367157,-0.244289994,Coordinates
51.51528168,-0.193849996,Coordinates
51.49200821,-0.165539995,Coordinates
51.49277878,-0.22439,Coordinates
51.5146904,-0.150289997,Coordinates
51.5125618,-0.088145003,Coordinates
51.59003067,-0.143610001,Coordinates
51.45434952,-0.140200004,Coordinates
51.50928879,-0.195810005,Coordinates
51.63050842,-0.097110003,Coordinates
51.48843002,-0.166170001,Coordinates
51.45946121,-0.166649997,Coordinates
51.50469971,-0.019734001,Coordinates
51.53881073,-0.143910006,Coordinates
51.51794815,-0.117830001,Coordinates
51.50794983,-0.12387,Coordinates
51.51683044,-0.205899999,Coordinates
51.57175827,-0.195879996,Coordinates
51.6522789,-0.083439998,Coordinates
51.52005005,-0.083590001,Coordinates
51.50735092,-0.142399997,Coordinates
51.50226974,-0.188569993,Coordinates
51.51828003,-0.125780001,Coordinates
51.5115509,-0.075180002,Coordinates
51.50202179,-0.117830001,Coordinates
51.49449158,-0.182380006,Coordinates
51.52022934,-0.087059997,Coordinates
51.48477936,-0.182290003,Coordinates
51.51639938,-0.119879998,Coordinates
51.51457977,-0.09612,Coordinates
51.42115021,-0.207670003,Coordinates
51.49687958,-0.138866007,Coordinates
51.53390121,-0.171399996,Coordinates
51.48912811,-0.190679997,Coordinates
51.51667023,-0.103610002,Coordinates
51.51272583,-0.133315995,Coordinates
51.46204376,-0.138184994,Coordinates
51.46264267,-0.215979993,Coordinates
51.53015137,-0.186120003,Coordinates
51.51330566,-0.227855995,Coordinates
51.51454163,-0.098631002,Coordinates
51.52070999,-0.134709999,Coordinates
51.51942062,-0.179480001,Coordinates
51.5358696,-0.205259994,Coordinates
51.51446152,-0.085299999,Coordinates
51.52074814,-0.122979999,Coordinates
51.57616425,-0.224494994,Coordinates
51.54726028,-0.191339999,Coordinates
51.51748276,-0.142682999,Coordinates
51.49795914,-0.183599994,Coordinates
51.51890945,-0.168909997,Coordinates
51.5508194,-0.164969996,Coordinates
51.52024078,-0.103430003,Coordinates
51.52524948,-0.139290005,Coordinates
51.49895859,-0.135539994,Coordinates
51.5120697,-0.187900007,Coordinates
51.49812698,-0.132673994,Coordinates
51.48397827,-0.177029997,Coordinates
51.48038864,-0.194380999,Coordinates
51.5008316,-0.093489997,Coordinates
51.53141403,-0.126375005,Coordinates
51.51490021,-0.137620002,Coordinates
51.49488449,-0.046480998,Coordinates
51.65581894,-0.277049989,Coordinates
51.4211998,-0.206550002,Coordinates
51.50841904,-0.079080001,Coordinates
51.50796127,-0.221296996,Coordinates
51.61800003,-0.108910002,Coordinates
51.50495911,-0.020767,Coordinates
51.51029968,-0.139119998,Coordinates
51.46186829,-0.084587,Coordinates
51.46246338,-0.167447999,Coordinates
51.44393921,-0.150220007,Coordinates
51.50199127,0.00483,Coordinates
51.51697159,-0.068120003,Coordinates
51.41361237,-0.177864999,Coordinates
51.50048828,-0.162597001,Coordinates
51.41088486,-0.301688999,Coordinates
51.40961838,-0.228410006,Coordinates
51.58111572,-0.394811988,Coordinates
51.61326981,-0.276849985,Coordinates
51.51611328,-0.089634001,Coordinates
51.51735687,-0.082996003,Coordinates
51.46880722,-0.362601995,Coordinates
51.51390457,-0.149373993,Coordinates
51.51567841,-0.153860003,Coordinates
51.49267578,-0.228120998,Coordinates
51.51897049,-0.155959994,Coordinates
51.51042557,-0.127094999,Coordinates
51.5152092,-0.130250007,Coordinates
51.53094101,-0.121990003,Coordinates
51.48563385,-0.123643003,Coordinates
51.52236938,-0.135820001,Coordinates
51.52447891,-0.123630002,Coordinates
51.61629868,-0.177019998,Coordinates
51.51303864,-0.140922993,Coordinates
51.49353027,-0.174724996,Coordinates
51.50656891,-0.073370002,Coordinates
51.46260071,-0.1149,Coordinates
51.47364044,-0.191909999,Coordinates
51.49910355,-0.133499995,Coordinates
51.5046196,-0.089916997,Coordinates
51.87540817,0.248030007,Coordinates
51.51900864,-0.081359997,Coordinates
51.54265976,-0.005516,Coordinates
51.51564407,-0.086759999,Coordinates
51.53088379,-0.122867003,Coordinates
51.50505066,-0.014723,Coordinates
51.42757034,-0.167328,Coordinates
51.51758957,-0.08066,Coordinates
51.50367737,-0.113452002,Coordinates
51.50961304,-0.079048999,Coordinates
51.51468277,-0.144020006,Coordinates
51.49669266,-0.146475002,Coordinates
51.53081131,-0.123180002,Coordinates
51.4932251,-0.142294005,Coordinates
51.50255585,-0.019413,Coordinates
51.63430023,-0.069420002,Coordinates
51.50442886,-0.014905,Coordinates
51.56481934,-0.108779997,Coordinates
51.52219009,-0.157749996,Coordinates
51.50365448,-0.110812999,Coordinates
51.52491379,-0.035314001,Coordinates
51.49554825,-0.187888995,Coordinates
51.50136948,-0.161239997,Coordinates
51.50888824,0.025021,Coordinates
51.40675735,-0.028728999,Coordinates
51.5126152,-0.127693996,Coordinates
51.52867508,-0.133309007,Coordinates
